driver_program,0,11231.786417484283,/home/users/vhayots/spark-1572497074-isilonAD_1it_25cpus_20bb-0,allfiles
save_incremented,6057.103983640671,6194.255590677261,bigbrain_3080_2416_4865.nii,133880
load_img,10000.646006584167,10001.047487258911,bigbrain_2310_4832_2085.nii,133826
increment_data,10071.496266365051,10073.374450922012,bigbrain_2310_4832_2085.nii,133826
save_incremented,10073.737927436829,10150.371568441391,bigbrain_2310_4832_2085.nii,133826
load_img,9678.071572065353,9678.461297750473,bigbrain_4620_5436_1390.nii,133862
increment_data,9743.057569026947,9749.101297616959,bigbrain_4620_5436_1390.nii,133862
save_incremented,9752.005235671997,9833.64249587059,bigbrain_4620_5436_1390.nii,133862
load_img,2708.845856666565,2709.2925419807434,bigbrain_5390_0_1390.nii,133820
increment_data,2750.7305471897125,2758.5669531822205,bigbrain_5390_0_1390.nii,133820
save_incremented,2775.222820997238,2857.7875471115112,bigbrain_5390_0_1390.nii,133820
load_img,6605.14644408226,6606.708947896957,bigbrain_2310_5436_6255.nii,133813
increment_data,6619.1710731983185,6632.108301639557,bigbrain_2310_5436_6255.nii,133813
save_incremented,6636.904707431793,6738.357481002808,bigbrain_2310_5436_6255.nii,133813
load_img,11056.259409189224,11056.669019937515,bigbrain_3850_3624_3475.nii,133880
increment_data,11059.003737449646,11059.871721029282,bigbrain_3850_3624_3475.nii,133880
save_incremented,11095.330770492554,11190.819381475449,bigbrain_3850_3624_3475.nii,133880
load_img,6849.411291599274,6849.9140338897705,bigbrain_3080_1812_4170.nii,133856
increment_data,6879.659925937653,6881.258269309998,bigbrain_3080_1812_4170.nii,133856
save_incremented,6898.197108268738,7004.955369472504,bigbrain_3080_1812_4170.nii,133856
load_img,4404.587565422058,4404.987973451614,bigbrain_5390_1812_1390.nii,133847
increment_data,4409.990604162216,4410.971138238907,bigbrain_5390_1812_1390.nii,133847
save_incremented,4432.747397899628,4545.223899126053,bigbrain_5390_1812_1390.nii,133847
load_img,2708.8347408771515,2709.312830686569,bigbrain_2310_604_2085.nii,133868
increment_data,2762.8109135627747,2767.461159467697,bigbrain_2310_604_2085.nii,133868
save_incremented,2775.234386920929,2859.1425280570984,bigbrain_2310_604_2085.nii,133868
load_img,3549.081831932068,3549.551980495453,bigbrain_2310_1208_1390.nii,133862
increment_data,3593.345264196396,3594.346654653549,bigbrain_2310_1208_1390.nii,133862
save_incremented,3596.832455396652,3706.550288438797,bigbrain_2310_1208_1390.nii,133862
load_img,11056.114795446396,11056.588752508163,bigbrain_770_0_6255.nii,133877
