driver_program,0,323.8527488708496,/pmem1-data/val/spark-1570914005-optaneAD_1it_25cpus_120delay_withpc_em-1,allfiles
increment_data,24.11784839630127,28.574302673339844,bigbrain_0_1208_4865.nii,156963
save_incremented,28.5744948387146,33.4541072845459,bigbrain_0_1208_4865.nii,156963
load_img,26.705907106399536,26.731377363204956,bigbrain_0_0_6255.nii,156988
increment_data,26.734755754470825,28.851097345352173,bigbrain_0_0_6255.nii,156988
save_incremented,28.852169036865234,42.39987063407898,bigbrain_0_0_6255.nii,156988
load_img,28.303560972213745,28.305141925811768,bigbrain_0_0_6255.nii,157033
increment_data,28.305599451065063,29.10274338722229,bigbrain_0_0_6255.nii,157033
save_incremented,29.102905988693237,43.650084495544434,bigbrain_0_0_6255.nii,157033
load_img,28.34331703186035,28.34513831138611,bigbrain_0_3624_4865.nii,157008
increment_data,28.345567226409912,29.161284685134888,bigbrain_0_3624_4865.nii,157008
save_incremented,29.1614511013031,43.63900065422058,bigbrain_0_3624_4865.nii,157008
load_img,28.39244270324707,28.394620418548584,bigbrain_0_0_6255.nii,156951
increment_data,28.39517068862915,29.191319942474365,bigbrain_0_0_6255.nii,156951
save_incremented,29.191494703292847,42.54907417297363,bigbrain_0_0_6255.nii,156951
load_img,28.411470413208008,28.413580656051636,bigbrain_0_4228_695.nii,157013
increment_data,28.41395854949951,29.535134077072144,bigbrain_0_4228_695.nii,157013
save_incremented,29.535303115844727,44.44836926460266,bigbrain_0_4228_695.nii,157013
load_img,28.53841257095337,28.54011559486389,bigbrain_0_1208_2780.nii,157019
increment_data,28.540462255477905,29.314169883728027,bigbrain_0_1208_2780.nii,157019
save_incremented,29.314340353012085,32.22195839881897,bigbrain_0_1208_2780.nii,157019
load_img,28.800856351852417,28.802738189697266,bigbrain_0_4228_695.nii,156966
increment_data,28.80315399169922,29.741343021392822,bigbrain_0_4228_695.nii,156966
save_incremented,29.742591619491577,44.02490735054016,bigbrain_0_4228_695.nii,156966
load_img,29.082661390304565,29.08410143852234,bigbrain_0_1812_4170.nii,156999
increment_data,29.084415912628174,30.814221620559692,bigbrain_0_1812_4170.nii,156999
save_incremented,30.814724683761597,44.89470553398132,bigbrain_0_1812_4170.nii,156999
load_img,29.10753297805786,29.109007835388184,bigbrain_0_1812_4170.nii,156957
increment_data,29.10937786102295,30.891193389892578,bigbrain_0_1812_4170.nii,156957
save_incremented,30.89154863357544,45.31868553161621,bigbrain_0_1812_4170.nii,156957
load_img,29.54988145828247,29.551271438598633,bigbrain_0_1208_695.nii,156960
increment_data,29.551578283309937,31.629895448684692,bigbrain_0_1208_695.nii,156960
save_incremented,31.630144834518433,61.746402740478516,bigbrain_0_1208_695.nii,156960
