driver_program,0,9749.811122655869,/home/users/vhayots/spark-1570955656-isilon_1it_96cpus_0delay_npc-0,allfiles
load_img,8625.852924346924,8642.9544775486,bigbrain_6930_4228_5560.nii,112268
increment_data,8857.656586885452,8897.507926940918,bigbrain_6930_4228_5560.nii,112268
save_incremented,9013.146666049957,9223.40170788765,bigbrain_6930_4228_5560.nii,112268
load_img,7655.659854650497,7674.162662029266,bigbrain_5390_2416_2085.nii,111927
increment_data,7816.512966156006,7864.3467037677765,bigbrain_5390_2416_2085.nii,111927
save_incremented,8146.980196237564,8535.40732884407,bigbrain_5390_2416_2085.nii,111927
load_img,6285.477536439896,6286.605284690857,bigbrain_6930_0_3475.nii,112029
increment_data,6758.887487649918,6789.125637054443,bigbrain_6930_0_3475.nii,112029
save_incremented,7103.393689155579,7178.401884317398,bigbrain_6930_0_3475.nii,112029
load_img,4651.895340204239,4655.528347492218,bigbrain_3850_3624_695.nii,112153
increment_data,5065.014720916748,5098.694911956787,bigbrain_3850_3624_695.nii,112153
save_incremented,5265.647211790085,5715.417555332184,bigbrain_3850_3624_695.nii,112153
load_img,2217.7487409114838,2240.347724199295,bigbrain_0_3020_2085.nii,111936
increment_data,2455.684003353119,2478.1873500347137,bigbrain_0_3020_2085.nii,111936
save_incremented,2489.8551394939423,2892.818351507187,bigbrain_0_3020_2085.nii,111936
load_img,87.26488828659058,114.37021970748901,bigbrain_6160_1812_6255.nii,111916
increment_data,207.85726976394653,246.82968878746033,bigbrain_6160_1812_6255.nii,111916
save_incremented,605.6367971897125,719.4177467823029,bigbrain_6160_1812_6255.nii,111916
load_img,997.0310640335083,1057.168607711792,bigbrain_770_4228_5560.nii,112225
increment_data,1373.463389635086,1416.8008861541748,bigbrain_770_4228_5560.nii,112225
save_incremented,1551.4929029941559,1849.3301956653595,bigbrain_770_4228_5560.nii,112225
load_img,1576.02587723732,1577.7181198596954,bigbrain_4620_4228_695.nii,112235
increment_data,2060.3754732608795,2095.8357033729553,bigbrain_4620_4228_695.nii,112235
save_incremented,2413.550980091095,2582.3513696193695,bigbrain_4620_4228_695.nii,112235
load_img,776.7711787223816,800.967654466629,bigbrain_6930_4228_2780.nii,112029
increment_data,1179.8011424541473,1214.7084844112396,bigbrain_6930_4228_2780.nii,112029
save_incremented,1524.4287648200989,1666.260394334793,bigbrain_6930_4228_2780.nii,112029
load_img,8627.054316043854,8642.960043430328,bigbrain_770_2416_2085.nii,112214
increment_data,8895.237702131271,8935.872885227203,bigbrain_770_2416_2085.nii,112214
save_incremented,9013.149954319,9260.355942249298,bigbrain_770_2416_2085.nii,112214
load_img,922.8066756725311,956.3394110202789,bigbrain_5390_1208_695.nii,112133
increment_data,1254.6955840587616,1285.4090099334717,bigbrain_5390_1208_695.nii,112133
save_incremented,1547.8872618675232,1717.348402261734,bigbrain_5390_1208_695.nii,112133
load_img,3680.2224817276,3684.997596502304,bigbrain_4620_1812_3475.nii,112300
increment_data,4121.46187210083,4155.0033457279205,bigbrain_4620_1812_3475.nii,112300
save_incremented,4331.16734957695,4605.252596616745,bigbrain_4620_1812_3475.nii,112300
load_img,2475.576898097992,2490.725957632065,bigbrain_4620_3020_5560.nii,111971
increment_data,2895.8750042915344,2933.9779875278473,bigbrain_4620_3020_5560.nii,111971
save_incremented,3318.1337072849274,3343.5688853263855,bigbrain_4620_3020_5560.nii,111971
load_img,7165.931526422501,7178.486861228943,bigbrain_4620_2416_3475.nii,112037
increment_data,7607.197917938232,7654.586020231247,bigbrain_4620_2416_3475.nii,112037
save_incremented,7667.945216417313,7858.986668109894,bigbrain_4620_2416_3475.nii,112037
load_img,7660.077907323837,7674.191019773483,bigbrain_3850_604_2780.nii,112068
increment_data,8031.436969995499,8069.123381137848,bigbrain_3850_604_2780.nii,112068
save_incremented,8148.0616273880005,8570.781706571579,bigbrain_3850_604_2780.nii,112068
load_img,3758.552371740341,3773.650500059128,bigbrain_3850_4832_1390.nii,111930
increment_data,4191.875505685806,4227.114932537079,bigbrain_3850_4832_1390.nii,111930
save_incremented,4334.30131983757,4657.213112592697,bigbrain_3850_4832_1390.nii,111930
load_img,7655.393190383911,7674.161386966705,bigbrain_6930_1208_1390.nii,112263
increment_data,7798.483674764633,7863.947567462921,bigbrain_6930_1208_1390.nii,112263
save_incremented,8146.846552371979,8484.869538545609,bigbrain_6930_1208_1390.nii,112263
load_img,23.683785438537598,47.08433508872986,bigbrain_0_3020_4865.nii,111945
